2020-01-21 11:31:24,902 - wiirunner - INFO - Source is Camera
2020-01-21 11:31:24,903 - wiirunner - INFO - {'row_low': 0, 'row_high': 719, 'column_low': 0, 'column_high': 1279}
2020-01-21 11:31:24,940 - wiirunner - INFO - ('frame: ', -1)
2020-01-21 11:31:26,536 - wiirunner - INFO - ('cycle, time, frame, direction:', 1, 10, 340, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:26,864 - wiirunner - INFO - ('cycle, time, frame, direction:', 2, 5, 338, <State.eLeft: (1,)>, False, False)
2020-01-21 11:31:28,667 - wiirunner - INFO - ('cycle, time, frame, direction:', 3, 29, 343, <State.eLeft: (1,)>, False, False)
2020-01-21 11:31:29,576 - wiirunner - INFO - ('cycle, time, frame, direction:', 4, 15, 274, <State.eSame: (0,)>, False, True)
2020-01-21 11:31:31,771 - wiirunner - INFO - ('cycle, time, frame, direction:', 5, 33, 286, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:33,869 - wiirunner - INFO - ('cycle, time, frame, direction:', 6, 51, 245, <State.eSame: (0,)>, False, True)
2020-01-21 11:31:34,409 - wiirunner - INFO - ('cycle, time, frame, direction:', 7, 8, 259, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:35,118 - wiirunner - INFO - ('cycle, time, frame, direction:', 8, 10, 270, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:35,610 - wiirunner - INFO - ('cycle, time, frame, direction:', 9, 7, 243, <State.eSame: (0,)>, False, True)
2020-01-21 11:31:35,955 - wiirunner - INFO - ('cycle, time, frame, direction:', 10, 5, 221, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:38,747 - wiirunner - INFO - ('cycle, time, frame, direction:', 11, 41, 233, <State.eSame: (0,)>, True, False)
2020-01-21 11:31:42,669 - wiirunner - INFO - ('cycle, time, frame, direction:', 12, 57, 215, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:42,994 - wiirunner - INFO - ('cycle, time, frame, direction:', 13, 3, 200, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:43,413 - wiirunner - INFO - ('cycle, time, frame, direction:', 14, 6, 209, <State.eSame: (0,)>, True, False)
2020-01-21 11:31:43,944 - wiirunner - INFO - ('cycle, time, frame, direction:', 15, 8, 196, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:45,249 - wiirunner - INFO - ('cycle, time, frame, direction:', 16, 20, 205, <State.eSame: (0,)>, True, False)
2020-01-21 11:31:45,548 - wiirunner - INFO - ('cycle, time, frame, direction:', 17, 5, 195, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:46,166 - wiirunner - INFO - ('cycle, time, frame, direction:', 18, 6, 203, <State.eSame: (0,)>, True, False)
2020-01-21 11:31:46,382 - wiirunner - INFO - ('cycle, time, frame, direction:', 19, 3, 211, <State.eLeft: (1,)>, True, False)
2020-01-21 11:31:46,889 - wiirunner - INFO - ('cycle, time, frame, direction:', 20, 8, 201, <State.eSame: (0,)>, False, True)
2020-01-21 11:31:47,925 - wiirunner - INFO - ('cycle, time, frame, direction:', 21, 15, 208, <State.eSame: (0,)>, False, False)
2020-01-21 11:31:48,665 - wiirunner - INFO - ('cycle, time, frame, direction:', 22, 10, 200, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:48,817 - wiirunner - INFO - ('cycle, time, frame, direction:', 23, 2, 191, <State.eRight: (-1,)>, False, True)
2020-01-21 11:31:49,045 - wiirunner - INFO - ('cycle, time, frame, direction:', 24, 4, 197, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:49,955 - wiirunner - INFO - ('cycle, time, frame, direction:', 25, 14, 203, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:50,629 - wiirunner - INFO - ('cycle, time, frame, direction:', 26, 10, 196, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:51,066 - wiirunner - INFO - ('cycle, time, frame, direction:', 27, 6, 189, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:51,220 - wiirunner - INFO - ('cycle, time, frame, direction:', 28, 2, 184, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:51,355 - wiirunner - INFO - ('cycle, time, frame, direction:', 29, 2, 189, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:51,557 - wiirunner - INFO - ('cycle, time, frame, direction:', 30, 3, 194, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:51,823 - wiirunner - INFO - ('cycle, time, frame, direction:', 31, 4, 199, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:52,159 - wiirunner - INFO - ('cycle, time, frame, direction:', 32, 5, 203, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:52,327 - wiirunner - INFO - ('cycle, time, frame, direction:', 33, 2, 207, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:52,972 - wiirunner - INFO - ('cycle, time, frame, direction:', 34, 9, 211, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:53,293 - wiirunner - INFO - ('cycle, time, frame, direction:', 35, 5, 214, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:53,719 - wiirunner - INFO - ('cycle, time, frame, direction:', 36, 7, 209, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:53,834 - wiirunner - INFO - ('cycle, time, frame, direction:', 37, 2, 212, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:54,022 - wiirunner - INFO - ('cycle, time, frame, direction:', 38, 3, 215, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:54,726 - wiirunner - INFO - ('cycle, time, frame, direction:', 39, 11, 218, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:55,563 - wiirunner - INFO - ('cycle, time, frame, direction:', 40, 17, 221, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:55,962 - wiirunner - INFO - ('cycle, time, frame, direction:', 41, 6, 216, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,091 - wiirunner - INFO - ('cycle, time, frame, direction:', 42, 2, 219, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,568 - wiirunner - INFO - ('cycle, time, frame, direction:', 43, 7, 222, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,696 - wiirunner - INFO - ('cycle, time, frame, direction:', 44, 2, 224, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,834 - wiirunner - INFO - ('cycle, time, frame, direction:', 45, 2, 220, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,896 - wiirunner - INFO - ('cycle, time, frame, direction:', 46, 1, 215, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:56,964 - wiirunner - INFO - ('cycle, time, frame, direction:', 47, 1, 211, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:57,086 - wiirunner - INFO - ('cycle, time, frame, direction:', 48, 1, 207, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:57,215 - wiirunner - INFO - ('cycle, time, frame, direction:', 49, 1, 210, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:57,354 - wiirunner - INFO - ('cycle, time, frame, direction:', 50, 1, 205, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:57,638 - wiirunner - INFO - ('cycle, time, frame, direction:', 51, 3, 208, <State.eRight: (-1,)>, False, False)
2020-01-21 11:31:57,985 - wiirunner - INFO - ('cycle, time, frame, direction:', 52, 4, 211, <State.eRight: (-1,)>, False, False)
