2020-01-21 11:32:37,915 - wiirunner - INFO - Source is Camera
2020-01-21 11:32:37,915 - wiirunner - INFO - {'row_low': 0, 'row_high': 719, 'column_low': 0, 'column_high': 1279}
2020-01-21 11:32:37,953 - wiirunner - INFO - ('frame: ', -1)
2020-01-21 11:32:39,682 - wiirunner - INFO - ('cycle, time, frame, direction:', 1, 12, 4, <State.eSame: (0,)>, False, False)
2020-01-21 11:32:39,806 - wiirunner - INFO - ('cycle, time, frame, direction:', 2, 1, 6, <State.eSame: (0,)>, False, False)
2020-01-21 11:32:39,948 - wiirunner - INFO - ('cycle, time, frame, direction:', 3, 1, 93, <State.eLeft: (1,)>, True, False)
2020-01-21 11:32:40,146 - wiirunner - INFO - ('cycle, time, frame, direction:', 4, 3, 76, <State.eSame: (0,)>, False, True)
2020-01-21 11:32:40,312 - wiirunner - INFO - ('cycle, time, frame, direction:', 5, 2, 64, <State.eRight: (-1,)>, False, True)
2020-01-21 11:32:41,007 - wiirunner - INFO - ('cycle, time, frame, direction:', 6, 10, 56, <State.eRight: (-1,)>, False, True)
2020-01-21 11:32:41,346 - wiirunner - INFO - ('cycle, time, frame, direction:', 7, 6, 52, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:41,812 - wiirunner - INFO - ('cycle, time, frame, direction:', 8, 7, 48, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:42,307 - wiirunner - INFO - ('cycle, time, frame, direction:', 9, 8, 45, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:42,941 - wiirunner - INFO - ('cycle, time, frame, direction:', 10, 12, 42, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:43,572 - wiirunner - INFO - ('cycle, time, frame, direction:', 11, 15, 40, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:43,909 - wiirunner - INFO - ('cycle, time, frame, direction:', 12, 8, 38, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:44,181 - wiirunner - INFO - ('cycle, time, frame, direction:', 13, 4, 36, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:44,381 - wiirunner - INFO - ('cycle, time, frame, direction:', 14, 3, 35, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:44,586 - wiirunner - INFO - ('cycle, time, frame, direction:', 15, 3, 34, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:44,750 - wiirunner - INFO - ('cycle, time, frame, direction:', 16, 2, 32, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:44,905 - wiirunner - INFO - ('cycle, time, frame, direction:', 17, 2, 31, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:45,247 - wiirunner - INFO - ('cycle, time, frame, direction:', 18, 9, 29, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:45,583 - wiirunner - INFO - ('cycle, time, frame, direction:', 19, 5, 28, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:45,845 - wiirunner - INFO - ('cycle, time, frame, direction:', 20, 4, 27, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:46,007 - wiirunner - INFO - ('cycle, time, frame, direction:', 21, 3, 26, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:46,212 - wiirunner - INFO - ('cycle, time, frame, direction:', 22, 3, 25, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:46,479 - wiirunner - INFO - ('cycle, time, frame, direction:', 23, 4, 24, <State.eRight: (-1,)>, False, False)
2020-01-21 11:32:46,689 - wiirunner - INFO - ('cycle, time, frame, direction:', 24, 3, 37, <State.eSame: (0,)>, True, False)
